Name                                                  Pid   PPid   Thds   Hnds Time
... 0xffff9e899db130c0:DSDFunctionKey                4636   3352      5      0 2024-02-16 11:59:29 UTC+0000
.. 0xffff9e899d72f080:dynabookSystem                 3368    696      7      0 2024-02-16 11:59:15 UTC+0000
.. 0xffff9e899d6f0280:svchost.exe                    3292    696      3      0 2024-02-16 11:59:15 UTC+0000
.. 0xffff9e899dea6080:svchost.exe                    6452    696      5      0 2024-02-16 12:25:02 UTC+0000
.. 0xffff9e899d3c42c0:svchost.exe                    2880    696     12      0 2024-02-16 11:59:14 UTC+0000
.. 0xffff9e899cebf2c0:svchost.exe                    1860    696      6      0 2024-02-16 11:59:12 UTC+0000
.. 0xffff9e8996d6b080:svchost.exe                    1872    696      5      0 2024-02-16 11:59:12 UTC+0000
.. 0xffff9e899dbca280:svchost.exe                    4952    696      3      0 2024-02-16 11:59:30 UTC+0000
... 0xffff9e899dd28280:ctfmon.exe                    5116   4952     11      0 2024-02-16 11:59:30 UTC+0000
.. 0xffff9e8996d53080:svchost.exe                    1888    696      6      0 2024-02-16 11:59:12 UTC+0000
.. 0xffff9e899cdaf2c0:svchost.exe                    1380    696      2      0 2024-02-16 11:59:12 UTC+0000
.. 0xffff9e899d74a2c0:svchost.exe                    3432    696      4      0 2024-02-16 11:59:15 UTC+0000
.. 0xffff9e899eb46340:svchost.exe                    2412    696      2      0 2024-02-16 12:05:29 UTC+0000
.. 0xffff9e8996d47080:svchost.exe                    1908    696      2      0 2024-02-16 11:59:12 UTC+0000
.. 0xffff9e899c5622c0:svchost.exe                     896    696     10      0 2024-02-16 11:59:11 UTC+0000
.. 0xffff9e899d1c4300:svchost.exe                    2452    696      7      0 2024-02-16 11:59:14 UTC+0000
.. 0xffff9e899db20300:svchost.exe                    4676    696      9      0 2024-02-16 11:59:29 UTC+0000
.. 0xffff9e899d1c5080:svchost.exe                    2460    696      5      0 2024-02-16 11:59:14 UTC+0000
.. 0xffff9e899d42e300:svchost.exe                    2976    696      5      0 2024-02-16 11:59:15 UTC+0000
.. 0xffff9e899d1c6080:svchost.exe                    2472    696     11      0 2024-02-16 11:59:14 UTC+0000
.. 0xffff9e899f4c8340:SgrmBroker.exe                 3500    696      6      0 2024-02-16 12:01:20 UTC+0000
.. 0xffff9e899d60f280:HidMonitorSvc.                 3144    696      2      0 2024-02-16 11:59:15 UTC+0000
... 0xffff9e899db0c300:Apoint.exe                    4600   3144      3      0 2024-02-16 11:59:29 UTC+0000
