**************************************************
Session(V): ffff81812519a000 ID: 0 Processes: 90
PagedPoolStart: ffffe74880000000 PagedPoolEnd ffffe7687fffffff
 Process: 8136 svchost.exe 2024-02-16 12:01:18 UTC+0000
 Process: 8164 svchost.exe 2024-02-16 12:01:19 UTC+0000
 Process: 6932 svchost.exe 2024-02-16 12:01:19 UTC+0000
 Process: 3500 SgrmBroker.exe 2024-02-16 12:01:20 UTC+0000
 Process: 3560 svchost.exe 2024-02-16 12:01:21 UTC+0000
 Process: 7304 svchost.exe 2024-02-16 12:01:21 UTC+0000
 Process: 8676 svchost.exe 2024-02-16 12:02:13 UTC+0000
 Process: 2084 svchost.exe 2024-02-16 12:03:33 UTC+0000
 Process: 2412 svchost.exe 2024-02-16 12:05:29 UTC+0000
 Process: 2156 svchost.exe 2024-02-16 12:24:38 UTC+0000
 Process: 1724 svchost.exe 2024-02-16 12:24:40 UTC+0000
 Process: 7796 svchost.exe 2024-02-16 12:24:41 UTC+0000
 Process: 8372 svchost.exe 2024-02-16 12:24:42 UTC+0000
 Process: 6452 svchost.exe 2024-02-16 12:25:02 UTC+0000
 Process: 6584 SearchProtocol 2024-02-16 12:29:44 UTC+0000
 Process: 8800 SearchFilterHo 2024-02-16 12:29:45 UTC+0000





**************************************************
Session(V): ffff818123b9d000 ID: 1 Processes: 51
PagedPoolStart: ffffe74880000000 PagedPoolEnd ffffe7687fffffff
 Process: 640 csrss.exe 2024-02-16 11:59:10 UTC+0000
 Process: 1008 winlogon.exe 2024-02-16 11:59:11 UTC+0000
 Process: 288 fontdrvhost.ex 2024-02-16 11:59:11 UTC+0000
 Process: 532 dwm.exe 2024-02-16 11:59:11 UTC+0000
 Process: 4600 Apoint.exe 2024-02-16 11:59:29 UTC+0000
 Process: 4608 sihost.exe 2024-02-16 11:59:29 UTC+0000
 Process: 4636 DSDFunctionKey 2024-02-16 11:59:29 UTC+0000
 Process: 4676 svchost.exe 2024-02-16 11:59:29 UTC+0000
 Process: 4704 svchost.exe 2024-02-16 11:59:29 UTC+0000
 Process: 4788 taskhostw.exe 2024-02-16 11:59:29 UTC+0000
 Process: 5116 ctfmon.exe 2024-02-16 11:59:30 UTC+0000
 Process: 3172 igfxEM.exe 2024-02-16 11:59:30 UTC+0000
 Process: 2600 igfxHK.exe 2024-02-16 11:59:30 UTC+0000
 Process: 4264 ApMsgFwd.exe 2024-02-16 11:59:31 UTC+0000
 Process: 4276 igfxTray.exe 2024-02-16 11:59:31 UTC+0000
 Process: 5264 userinit.exe 2024-02-16 11:59:33 UTC+0000
 Process: 5316 explorer.exe 2024-02-16 11:59:33 UTC+0000
 Process: 5296 hidfind.exe 2024-02-16 11:59:33 UTC+0000
 Process: 5344 ApntEx.exe 2024-02-16 11:59:33 UTC+0000
 Process: 5380 conhost.exe 2024-02-16 11:59:33 UTC+0000
 Process: 5576 svchost.exe 2024-02-16 11:59:35 UTC+0000
 Process: 5392 StartMenuExper 2024-02-16 11:59:40 UTC+0000
 Process: 5772 RuntimeBroker. 2024-02-16 11:59:42 UTC+0000
 Process: 5800 SearchApp.exe 2024-02-16 11:59:44 UTC+0000
 Process: 4900 RuntimeBroker. 2024-02-16 11:59:47 UTC+0000
 Process: 5748 SkypeBackgroun 2024-02-16 11:59:48 UTC+0000
 Process: 6912 SecurityHealth 2024-02-16 11:59:59 UTC+0000
 Process: 7060 OneDrive.exe 2024-02-16 12:00:00 UTC+0000
 Process: 1184 RuntimeBroker. 2024-02-16 12:00:25 UTC+0000
 Process: 1896 ShellExperienc 2024-02-16 12:00:34 UTC+0000
 Process: 2576 RuntimeBroker. 2024-02-16 12:00:35 UTC+0000
 Process: 3576 TextInputHost. 2024-02-16 12:00:41 UTC+0000
 Process: 4528 SkypeApp.exe 2024-02-16 12:00:47 UTC+0000
 Process: 3856 chrome.exe 2024-02-16 12:00:49 UTC+0000
 Process: 7768 RuntimeBroker. 2024-02-16 12:01:03 UTC+0000
 Process: 7884 svchost.exe 2024-02-16 12:01:22 UTC+0000
 Process: 1520 ApplicationFra 2024-02-16 12:03:11 UTC+0000
 Process: 7988 WinStore.App.e 2024-02-16 12:03:11 UTC+0000
 Process: 6524 RuntimeBroker. 2024-02-16 12:03:16 UTC+0000
 Process: 1044 SystemSettings 2024-02-16 12:03:31 UTC+0000
 Process: 8108 UserOOBEBroker 2024-02-16 12:03:33 UTC+0000
 Process: 1800 git-bash.exe 2024-02-16 12:06:42 UTC+0000
 Process: 3276 mintty.exe 2024-02-16 12:06:42 UTC+0000
 Process: 3636 mintty.exe 2024-02-16 12:06:42 UTC+0000
 Process: 7228 cygwin-console 2024-02-16 12:06:42 UTC+0000
 Process: 2300 conhost.exe 2024-02-16 12:06:42 UTC+0000
 Process: 1348 bash.exe 2024-02-16 12:06:43 UTC+0000
 Process: 3516 smartscreen.ex 2024-02-16 12:23:36 UTC+0000
 Process: 5384 FTK Imager.exe 2024-02-16 12:23:42 UTC+0000
 Process: 9096 git.exe 2024-02-16 12:25:46 UTC+0000
 Process: 8700 ed01ebfbc9eb5b 2024-02-16 12:29:40 UTC+0000
